LAMMPS Atom File

          768 atoms
          512 bonds
          256 angles
            0 dihedrals
            0 impropers

        2 atom types
        1 bond types
        1 angle types

     0.00000   20.60000  xlo xhi
     0.00000   20.60000  ylo yhi
     0.00000   20.60000  zlo zhi

Masses

	1	15.9994
	2	1.00794

Atoms

    232   78  1 -0.8476     10.321   5.490   0.160
    233   78  2  0.4238      9.911   6.310  -0.230
    234   78  2  0.4238     10.961   5.750   0.890
    235   79  1 -0.8476      5.610   2.220  11.471
    236   79  2  0.4238      5.990   1.380  11.841
    237   79  2  0.4238      4.730   2.410  11.911
    238   80  1 -0.8476      8.660   4.540   6.420
    239   80  2  0.4238      8.340   5.260   5.800
    240   80  2  0.4238      8.900   3.730   5.890
    241   81  1 -0.8476     10.171   0.390   7.530
    242   81  2  0.4238      9.451   0.440   6.840
    243   81  2  0.4238      9.931  -0.300   8.220
    244   82  1 -0.8476     14.291  11.731   8.670
    245   82  2  0.4238     13.741  10.891   8.600
    246   82  2  0.4238     14.551  12.021   7.750
    247   83  1 -0.8476     14.661   5.900   9.921
    248   83  2  0.4238     14.361   4.950   9.991
    249   83  2  0.4238     15.391   6.060  10.581
    250   84  1 -0.8476     18.571   8.330   3.770
    251   84  2  0.4238     18.991   7.690   4.410
    252   84  2  0.4238     18.191   7.820   2.990
    253   85  1 -0.8476      4.880  13.851   1.740
    254   85  2  0.4238      4.010  13.701   2.210
    255   85  2  0.4238      4.710  14.111   0.790
    256   86  1 -0.8476     16.641  12.801   6.570
    257   86  2  0.4238     17.631  12.881   6.710
    258   86  2  0.4238     16.191  13.641   6.880
    259   87  1 -0.8476     13.901   5.750   0.780
    260   87  2  0.4238     13.361   5.540   1.590
    261   87  2  0.4238     14.811   5.340   0.870
    262   88  1 -0.8476      5.270   2.560   3.280
    263   88  2  0.4238      5.540   1.970   2.530
    264   88  2  0.4238      5.270   3.510   2.970
    265   89  1 -0.8476     17.541  12.231  15.881
    266   89  2  0.4238     18.451  11.841  15.751
    267   89  2  0.4238     17.621  13.191  16.121
    268   90  1 -0.8476     10.641  13.471  13.401
    269   90  2  0.4238      9.841  13.241  13.951
    270   90  2  0.4238     11.471  13.211  13.891
    271   91  1 -0.8476     15.921  16.291  16.251
    272   91  2  0.4238     16.191  16.631  15.351
    273   91  2  0.4238     16.711  15.911  16.711
    274   92  1 -0.8476     11.111  11.951  11.001
    275   92  2  0.4238     10.711  12.391  11.811
    276   92  2  0.4238     10.701  12.321  10.171
    277   93  1 -0.8476     16.381  10.991  10.791
    278   93  2  0.4238     16.431  11.801  11.381
    279   93  2  0.4238     15.521  11.011  10.281
    280   94  1 -0.8476      9.150   0.890  14.021
    281   94  2  0.4238      9.400   0.690  13.071
    282   94  2  0.4238      9.870   1.450  14.441
    283   95  1 -0.8476      9.801  11.161  17.191
    284   95  2  0.4238      8.811  11.221  17.291
    285   95  2  0.4238     10.031  10.361  16.631
    286   96  1 -0.8476      7.050  10.501   3.680
    287   96  2  0.4238      6.910  10.571   4.670
    288   96  2  0.4238      7.890   9.991   3.500
    289   97  1 -0.8476     12.741   3.860  12.621
    290   97  2  0.4238     12.951   4.600  13.261
    291   97  2  0.4238     11.851   4.030  12.191
    292   98  1 -0.8476      3.670  11.001   5.010
    293   98  2  0.4238      3.600  11.831   4.450
    294   98  2  0.4238      3.710  10.201   4.410
    295   99  1 -0.8476      5.660   5.370   8.650
    296   99  2  0.4238      5.780   6.030   7.910
    297   99  2  0.4238      6.120   5.710   9.480
    298  100  1 -0.8476     12.521  13.481   3.880
    299  100  2  0.4238     13.021  14.251   4.280
    300  100  2  0.4238     11.571  13.501   4.200
    301  101  1 -0.8476     12.721  14.451  11.421
    302  101  2  0.4238     13.191  14.581  12.291
    303  101  2  0.4238     12.061  13.711  11.511
    304  102  1 -0.8476     15.821   6.390   4.720
    305  102  2  0.4238     15.511   7.000   5.450
    306  102  2  0.4238     16.321   6.910   4.030
    307  103  1 -0.8476      3.540  15.101  13.291
    308  103  2  0.4238      3.330  14.661  12.421
    309  103  2  0.4238      4.510  15.361  13.321
    310  104  1 -0.8476      4.020   7.510  15.981
    311  104  2  0.4238      4.700   8.060  15.511
    312  104  2  0.4238      4.420   6.630  16.251
    313  105  1 -0.8476     15.871   7.790  16.701
    314  105  2  0.4238     14.951   8.170  16.651
    315  105  2  0.4238     16.471   8.260  16.051
    316  106  1 -0.8476     10.131   1.050  17.701
    317  106  2  0.4238     10.191   1.900  17.181
    318  106  2  0.4238     10.451   0.290  17.131
    319  107  1 -0.8476      5.040   0.500  17.401
    320  107  2  0.4238      4.620  -0.070  16.701
    321  107  2  0.4238      4.380   1.190  17.721
    322  108  1 -0.8476      5.730   8.700  10.291
    323  108  2  0.4238      6.170   9.590  10.201
    324  108  2  0.4238      5.100   8.700  11.061
    325  109  1 -0.8476     13.601   8.620  10.451
    326  109  2  0.4238     12.851   8.620   9.791
    327  109  2  0.4238     13.971   7.700  10.541
    328  110  1 -0.8476     12.091   5.250   2.750
    329  110  2  0.4238     12.221   4.410   3.290
    330  110  2  0.4238     11.801   5.990   3.350
    331  111  1 -0.8476      3.070   2.130  12.311
    332  111  2  0.4238      2.840   2.500  13.211
    333  111  2  0.4238      2.770   1.180  12.251
    334  112  1 -0.8476      0.370  13.101  12.821
    335  112  2  0.4238      0.900  12.611  13.501
    336  112  2  0.4238      0.590  14.081  12.871
    337  113  1 -0.8476      7.320   6.340  10.641
    338  113  2  0.4238      7.910   6.080   9.881
    339  113  2  0.4238      7.040   7.300  10.531
    340  114  1 -0.8476     17.281   9.351  18.541
    341  114  2  0.4238     16.821   9.281  17.651
    342  114  2  0.4238     16.661   9.791  19.201
    343  115  1 -0.8476     16.221   3.670   3.740
    344  115  2  0.4238     16.241   2.910   4.380
    345  115  2  0.4238     15.741   4.440   4.140
    346  116  1 -0.8476     10.231   7.660   9.661
    347  116  2  0.4238     10.381   7.870  10.621
    348  116  2  0.4238      9.931   6.710   9.571
    349  117  1 -0.8476      9.801  15.731  17.001
    350  117  2  0.4238      9.601  16.171  16.121
    351  117  2  0.4238     10.191  14.821  16.841
    352  118  1 -0.8476     18.591  15.181  16.051
    353  118  2  0.4238     18.731  15.451  15.101
    354  118  2  0.4238     19.421  15.401  16.581
    355  119  1 -0.8476      3.500   8.980  18.041
    356  119  2  0.4238      4.260   9.420  18.521
    357  119  2  0.4238      3.850   8.510  17.221
    358  120  1 -0.8476     15.401   2.740   1.250
    359  120  2  0.4238     14.791   1.990   1.480
    360  120  2  0.4238     15.621   3.260   2.080
    361  121  1 -0.8476     13.031   8.380   0.420
    362  121  2  0.4238     13.371   7.450   0.570
    363  121  2  0.4238     13.211   8.650  -0.530
    364  122  1 -0.8476     10.681  13.331   8.490
    365  122  2  0.4238     10.751  12.491   7.940
    366  122  2  0.4238     11.301  14.021   8.130
    367  123  1 -0.8476      3.390   5.090  10.061
    368  123  2  0.4238      2.870   4.260   9.891
    369  123  2  0.4238      4.160   5.140   9.421
    370  124  1 -0.8476      5.110   4.150  18.081
    371  124  2  0.4238      4.930   4.600  18.961
    372  124  2  0.4238      5.530   4.800  17.451
    373  125  1 -0.8476     11.381   3.800  16.781
    374  125  2  0.4238     10.931   4.430  17.421
    375  125  2  0.4238     12.311   4.110  16.611
    376  126  1 -0.8476     11.601   2.070  14.771
    377  126  2  0.4238     11.601   2.710  15.541
    378  126  2  0.4238     11.881   2.550  13.941
    379  127  1 -0.8476      5.040  15.681   9.100
    380  127  2  0.4238      5.700  16.421   9.190
    381  127  2  0.4238      5.480  14.891   8.680
    382  128  1 -0.8476     10.021   7.960  12.381
    383  128  2  0.4238     10.431   7.640  13.241
    384  128  2  0.4238      9.061   7.690  12.351
    385  129  1 -0.8476      1.890   5.200  17.221
    386  129  2  0.4238      2.480   4.800  16.521
    387  129  2  0.4238      1.310   5.910  16.811
